Code,Name,Region/Country,Country/region,Supergroup code,Supergroup name,Group code,Group name,Subgroup code,Subgroup name,
E07000078,Cheltenham,South West,South West,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
W06000015,Cardiff,Wales,Wales,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
S12000033,Aberdeen City,Scotland,Scotland,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
S12000036,City of Edinburgh,Scotland,Scotland,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
S12000042,Dundee City,Scotland,Scotland,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
S12000046,Glasgow City,Scotland,Scotland,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
N09000003,Belfast,Northern Ireland,Northern Ireland,2r,"Business, Education and Heritage Centres ",2ar,Larger Towns and Cities,2a1r,Larger Towns and Cities,
E06000057,Northumberland,North East,North East,3r,Countryside Living,3ar,English and Welsh Countryside,3a2r,Sparse English and Welsh Countryside,
E07000026,Allerdale,North West,North West,3r,Countryside Living,3ar,English and Welsh Countryside,3a2r,Sparse English and Welsh Countryside,
E07000030,Eden,North West,North West,3r,Countryside Living,3ar,English and Welsh Countryside,3a1r,Older Farming Communities,
E07000031,South Lakeland,North West,North West,3r,Countryside Living,3ar,English and Welsh Countryside,3a1r,Older Farming Communities,
E07000119,Fylde,North West,North West,3r,Countryside Living,3ar,English and Welsh Countryside,3a1r,Older Farming Communities,
E07000124,Ribble Valley,North West,North West,3r,Countryside Living,3ar,English and Welsh Countryside,3a1r,Older Farming Communities,
E07000128,Wyre,North West,North West,3r,Countryside Living,3ar,English and Welsh Countryside,3a2r,Sparse English and Welsh Countryside,
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Yorkshire and The Humber,3r,Countryside Living,3ar,English and Welsh Countryside,3a2r,Sparse English and Welsh Countryside,
E07000163,Craven,Yorkshire and The Humber,Yorkshire and The Humber,3r,Countryside Living,3ar,English and Welsh Countryside,3a1r,Older Farming Communities,
E07000164,Hambleton,Yorkshire and The Humber,Yorkshire and The Humber,3r,Countryside Living,3ar,English and Welsh Countryside,3a2r,Sparse English and Welsh Countryside,
E07000165,Harrogate,Yorkshire and The Humber,Yorkshire and The Humber,3r,Countryside Living,3ar,English and Welsh Countryside,3a1r,Older Farming Communities,
E07000166,Richmondshire,Yorkshire and The Humber,Yorkshire and The Humber,3r,Countryside Living,3ar,English and Welsh Countryside,3a2r,Sparse English and Welsh Countryside,
E07000167,Ryedale,Yorkshire and The Humber,Yorkshire and The Humber,3r,Countryside Living,3ar,English and Welsh Countryside,3a1r,Older Farming Communities,
E06000017,Rutland,East Midlands,East Midlands,3r,Countryside Living,3ar,English and Welsh Countryside,3a1r,Older Farming Communities,
E07000035,Derbyshire Dales,East Midlands,East Midlands,3r,Countryside Living,3ar,English and Welsh Countryside,3a1r,Older Farming Communities,
